Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-306.144,254.628,1522.49,-342.943,258.11,1520.75,-302.466,266.943,1469.46
2,0,-305.546,255.061,1522.64,-342.4,258.707,1520.9,-301.76,267.396,1469.46
3,0,-304.941,255.61,1522.73,-341.93,259.177,1521.08,-301.223,267.844,1469.63
4,0,-304.374,256.007,1522.95,-341.325,259.745,1521.39,-300.804,268.268,1469.78
5,0,-303.879,256.341,1523.15,-340.821,260.107,1521.57,-300.133,268.989,1470.14
6,0,-303.28,256.751,1523.47,-340.214,260.378,1521.84,-299.615,269.133,1470.34
7,0,-302.773,257.001,1523.86,-339.621,260.829,1522.18,-299.086,269.329,1470.72
8,0,-302.266,257.063,1524.12,-339.137,261.166,1522.8,-298.686,269.518,1471.06
9,0,-301.708,257.277,1524.74,-338.672,261.216,1523.28,-298.259,269.91,1471.58
10,0,-301.177,257.427,1525.28,-338.163,261.267,1523.67,-297.662,269.896,1472.13
11,0,-300.764,257.479,1525.68,-337.564,261.398,1524.26,-297.232,269.89,1472.58
12,0,-300.159,257.314,1526.32,-337.07,261.209,1524.89,-296.852,269.807,1473.02
13,0,-299.671,257.196,1526.86,-336.662,261.157,1525.48,-296.409,269.763,1473.83
14,0,-299.296,256.957,1527.5,-336.281,261.001,1526.23,-296.092,269.713,1474.51
15,0,-298.793,256.832,1528.18,-335.844,260.619,1526.85,-295.713,269.414,1475.1
16,0,-298.456,256.402,1528.79,-335.398,260.363,1527.65,-295.278,269.022,1475.73
17,0,-298,255.909,1529.46,-334.929,259.89,1528.36,-294.899,268.597,1476.28
18,0,-297.594,255.573,1530.22,-334.569,259.541,1528.94,-294.6,268.174,1477.05
19,0,-297.292,255.128,1530.89,-334.146,259.068,1529.78,-294.323,267.714,1477.7
20,0,-296.9,254.76,1531.57,-333.739,258.687,1530.59,-294.031,267.244,1478.42
21,0,-296.488,254.237,1532.2,-333.465,258.181,1531.19,-293.736,266.953,1479.02
22,0,-296.174,253.805,1532.85,-333.162,257.734,1531.99,-293.459,266.557,1479.72
23,0,-295.879,253.595,1533.47,-332.864,257.413,1532.53,-293.276,266.44,1480.34
24,0,-295.591,253.337,1534.14,-332.442,256.914,1533.12,-292.912,266.055,1481.07
25,0,-295.262,253.081,1534.65,-332.165,256.884,1533.87,-292.735,265.769,1481.4
26,0,-295.049,252.769,1535.17,-331.946,256.612,1534.41,-292.505,265.483,1481.9
27,0,-294.746,252.533,1535.62,-331.745,256.555,1534.93,-292.271,265.29,1482.5
28,0,-294.415,252.51,1535.96,-331.485,256.331,1535.31,-292.135,265.224,1482.9
29,0,-294.207,252.374,1536.42,-331.28,256.273,1535.74,-291.956,265.126,1483.28
30,0,-294.081,252.245,1536.82,-331.085,256.242,1536.04,-291.78,265.147,1483.62
31,0,-293.956,252.292,1537.03,-330.89,256.222,1536.3,-291.635,265.24,1483.95
32,0,-293.787,252.451,1537.2,-330.706,256.246,1536.59,-291.47,265.291,1484.19
33,0,-293.572,252.632,1537.41,-330.578,256.328,1536.82,-291.285,265.34,1484.36
34,0,-293.363,252.766,1537.55,-330.354,256.444,1536.97,-291.071,265.482,1484.46
35,0,-293.207,252.86,1537.6,-330.177,256.605,1537.05,-290.893,265.66,1484.53
36,0,-293.058,252.977,1537.63,-330.029,256.848,1537.05,-290.666,265.724,1484.43
37,0,-292.814,253.081,1537.52,-329.9,257.216,1537,-290.521,265.836,1484.4
38,0,-292.838,253.307,1537.49,-329.676,257.608,1536.83,-290.38,265.981,1484.32
39,0,-292.687,253.603,1537.34,-329.57,257.834,1536.76,-290.28,266.344,1484.23
40,0,-292.467,254.103,1537.1,-329.394,258.121,1536.6,-290.112,266.887,1484.04
41,0,-292.288,254.58,1536.88,-329.237,258.654,1536.31,-289.932,267.403,1483.77
42,0,-292.203,255.046,1536.72,-328.939,259.289,1535.94,-289.72,267.74,1483.53
43,0,-292.068,255.602,1536.46,-328.967,259.863,1535.69,-289.486,268.333,1483.16
44,0,-291.778,256.285,1536.08,-328.774,260.554,1535.3,-289.291,269.006,1482.77
45,0,-291.582,256.811,1535.76,-328.585,261.318,1534.98,-289.059,269.627,1482.48
46,0,-291.446,257.724,1535.21,-328.353,262.114,1534.42,-288.774,270.456,1482.06
47,0,-291.286,258.455,1534.76,-328.052,263.047,1533.99,-288.403,271.079,1481.67
48,0,-290.936,259.208,1534.27,-327.893,263.834,1533.45,-288.085,272.05,1481.05
49,0,-290.775,259.962,1533.8,-327.681,264.805,1532.93,-287.905,272.659,1480.58
50,0,-290.568,260.639,1533.31,-327.343,265.496,1532.47,-287.514,273.458,1480.05
51,0,-290.248,261.517,1532.82,-327.087,266.421,1532.05,-287.15,274.323,1479.75
52,0,-290.085,262.025,1532.48,-326.88,266.955,1531.67,-286.944,274.86,1479.35
