X [s],Analog Input adapter 16: Analog.A 16 [V],Analog Input adapter 16: Analog.B 16 [V],Analog Input adapter 16: Analog.C 16 [V],Analog Input adapter 16: Analog.D 16 [V]
0.000000e+000,2.869558e-001,1.418134e+000,7.079109e-002,1.417664e+000
1.928571e-003,2.872695e-001,1.418291e+000,7.079109e-002,1.417664e+000
3.857143e-003,2.869558e-001,1.418291e+000,7.079109e-002,1.417820e+000
5.785714e-003,2.867989e-001,1.418291e+000,7.094796e-002,1.417664e+000
7.714286e-003,2.866421e-001,1.418448e+000,7.079109e-002,1.417664e+000
9.642857e-003,2.866421e-001,1.418605e+000,7.079109e-002,1.417507e+000
1.157143e-002,2.869558e-001,1.418291e+000,7.110482e-002,1.417664e+000
1.350000e-002,2.867989e-001,1.418134e+000,7.079109e-002,1.417664e+000
1.542857e-002,2.871127e-001,1.418291e+000,7.079109e-002,1.417507e+000
1.735714e-002,2.869558e-001,1.418134e+000,7.079109e-002,1.417507e+000
1.928571e-002,2.869558e-001,1.418134e+000,7.079109e-002,1.417664e+000
2.121429e-002,2.869558e-001,1.418291e+000,7.079109e-002,1.417664e+000
2.314286e-002,2.867989e-001,1.418134e+000,7.110482e-002,1.417664e+000
2.507143e-002,2.867989e-001,1.418134e+000,7.079109e-002,1.417507e+000
2.700000e-002,2.867989e-001,1.418134e+000,7.047735e-002,1.417664e+000
2.892857e-002,2.867989e-001,1.418448e+000,7.079109e-002,1.417507e+000
3.085714e-002,2.869558e-001,1.418134e+000,7.079109e-002,1.417664e+000
3.278571e-002,2.869558e-001,1.418448e+000,7.094796e-002,1.417820e+000
3.471429e-002,2.866421e-001,1.418291e+000,7.079109e-002,1.417664e+000
3.664286e-002,2.867989e-001,1.418134e+000,7.079109e-002,1.417350e+000
3.857143e-002,2.869558e-001,1.418291e+000,7.079109e-002,1.417664e+000
4.050000e-002,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
4.242857e-002,2.869558e-001,1.418291e+000,7.079109e-002,1.417664e+000
4.435714e-002,2.866421e-001,1.417977e+000,7.063422e-002,1.417664e+000
4.628571e-002,2.866421e-001,1.418291e+000,7.079109e-002,1.417350e+000
4.821429e-002,2.869558e-001,1.418134e+000,7.079109e-002,1.417664e+000
5.014286e-002,2.869558e-001,1.418291e+000,7.079109e-002,1.417664e+000
5.207143e-002,2.869558e-001,1.418291e+000,7.079109e-002,1.417507e+000
5.400000e-002,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
5.592857e-002,2.866421e-001,1.418291e+000,7.079109e-002,1.417350e+000
5.785714e-002,2.867989e-001,1.417977e+000,7.079109e-002,1.417664e+000
5.978571e-002,2.869558e-001,1.418291e+000,7.079109e-002,1.417820e+000
6.171429e-002,2.869558e-001,1.417977e+000,7.079109e-002,1.417350e+000
6.364286e-002,2.867989e-001,1.418291e+000,7.063422e-002,1.417664e+000
6.557143e-002,2.867989e-001,1.417977e+000,7.079109e-002,1.417350e+000
6.750000e-002,2.869558e-001,1.417977e+000,7.079109e-002,1.417820e+000
6.942857e-002,2.867989e-001,1.418134e+000,7.094796e-002,1.417350e+000
7.135714e-002,2.869558e-001,1.418134e+000,7.047735e-002,1.417507e+000
7.328571e-002,2.867989e-001,1.418134e+000,7.079109e-002,1.417664e+000
7.521429e-002,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
7.714286e-002,2.867989e-001,1.418291e+000,7.063422e-002,1.417507e+000
7.907143e-002,2.867989e-001,1.418448e+000,7.079109e-002,1.417350e+000
8.100000e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
8.292857e-002,2.867989e-001,1.417977e+000,7.079109e-002,1.417664e+000
8.485714e-002,2.866421e-001,1.418291e+000,7.079109e-002,1.417507e+000
8.678571e-002,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
8.871429e-002,2.867989e-001,1.418291e+000,7.063422e-002,1.417507e+000
9.064286e-002,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
9.257143e-002,2.867989e-001,1.418134e+000,7.047735e-002,1.417350e+000
9.450000e-002,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
9.642857e-002,2.869558e-001,1.418291e+000,7.079109e-002,1.417507e+000
9.835714e-002,2.866421e-001,1.418134e+000,7.063422e-002,1.417507e+000
1.002857e-001,2.867989e-001,1.418291e+000,7.079109e-002,1.417664e+000
1.022143e-001,2.867989e-001,1.418134e+000,7.079109e-002,1.417507e+000
1.041429e-001,2.867989e-001,1.417977e+000,7.047735e-002,1.417507e+000
1.060714e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417664e+000
1.080000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
1.099286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.118571e-001,2.867989e-001,1.418291e+000,7.079109e-002,1.417507e+000
1.137857e-001,2.867989e-001,1.417977e+000,7.079109e-002,1.417664e+000
1.157143e-001,2.867989e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.176429e-001,2.869558e-001,1.418134e+000,7.079109e-002,1.417507e+000
1.195714e-001,2.867989e-001,1.418134e+000,7.063422e-002,1.417507e+000
1.215000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
1.234286e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
1.253571e-001,2.866421e-001,1.418134e+000,7.063422e-002,1.417507e+000
1.272857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.292143e-001,2.867989e-001,1.418134e+000,7.047735e-002,1.417507e+000
1.311429e-001,2.867989e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.330714e-001,2.866421e-001,1.418134e+000,7.032049e-002,1.417507e+000
1.350000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417664e+000
1.369286e-001,2.866421e-001,1.418134e+000,7.032049e-002,1.417350e+000
