Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-258.395,224.035,1535.26,-295.654,226.054,1534.46,-257.538,220.141,1480.63
2,0,-258.384,224.162,1535.28,-295.657,226.129,1534.48,-257.509,220.174,1480.61
3,0,-258.371,224.262,1535.3,-295.623,226.19,1534.49,-257.508,220.287,1480.63
4,0,-258.331,224.326,1535.28,-295.599,226.261,1534.49,-257.487,220.313,1480.61
5,0,-258.331,224.397,1535.28,-295.606,226.28,1534.5,-257.453,220.372,1480.58
6,0,-258.316,224.436,1535.29,-295.584,226.316,1534.49,-257.428,220.404,1480.57
7,0,-258.307,224.456,1535.29,-295.559,226.329,1534.49,-257.417,220.437,1480.57
8,0,-258.271,224.47,1535.28,-295.541,226.324,1534.47,-257.386,220.425,1480.56
9,0,-258.266,224.487,1535.29,-295.5,226.334,1534.49,-257.361,220.453,1480.53
10,0,-258.267,224.503,1535.27,-295.523,226.342,1534.44,-257.35,220.487,1480.54
11,0,-258.231,224.522,1535.26,-295.477,226.373,1534.45,-257.316,220.478,1480.53
12,0,-258.228,224.535,1535.26,-295.475,226.376,1534.45,-257.317,220.475,1480.52
13,0,-258.227,224.535,1535.26,-295.469,226.377,1534.45,-257.309,220.509,1480.54
14,0,-258.223,224.532,1535.28,-295.435,226.397,1534.44,-257.284,220.521,1480.51
15,0,-258.227,224.535,1535.26,-295.438,226.384,1534.42,-257.271,220.501,1480.53
16,0,-258.195,224.521,1535.24,-295.435,226.376,1534.41,-257.272,220.498,1480.52
17,0,-258.17,224.485,1535.26,-295.402,226.355,1534.42,-257.244,220.475,1480.5
18,0,-258.175,224.472,1535.26,-295.394,226.343,1534.43,-257.234,220.434,1480.52
19,0,-258.167,224.415,1535.27,-295.332,226.227,1534.31,-257.212,220.419,1480.55
20,0,-258.159,224.401,1535.28,-295.388,226.27,1534.43,-257.211,220.422,1480.56
21,0,-258.162,224.351,1535.31,-295.368,226.245,1534.46,-257.204,220.399,1480.58
22,0,-258.151,224.333,1535.33,-295.387,226.247,1534.49,-257.191,220.335,1480.61
23,0,-258.105,224.275,1535.35,-295.369,226.204,1534.5,-257.179,220.314,1480.62
24,0,-258.108,224.263,1535.35,-295.367,226.209,1534.55,-257.186,220.31,1480.68
25,0,-258.112,224.226,1535.39,-295.343,226.198,1534.58,-257.176,220.273,1480.7
26,0,-258.087,224.149,1535.4,-295.33,226.142,1534.58,-257.157,220.238,1480.73
27,0,-258.089,224.074,1535.46,-295.308,226.119,1534.61,-257.148,220.174,1480.75
28,0,-258.085,223.992,1535.49,-295.297,226.081,1534.65,-257.129,220.118,1480.79
29,0,-258.069,223.895,1535.54,-295.307,225.64,1534.38,-257.141,220.098,1480.85
30,0,-258.099,223.789,1535.57,-295.281,225.916,1534.74,-257.148,220.048,1480.85
31,0,-258.086,223.689,1535.62,-295.21,225.89,1534.91,-257.114,220.031,1480.92
32,0,-258.101,223.594,1535.67,-295.179,225.803,1534.98,-257.089,219.949,1480.96
33,0,-258.063,223.509,1535.74,-295.137,225.735,1535.06,-257.06,219.918,1481.02
34,0,-258.019,223.453,1535.84,-295.065,225.624,1535.11,-257.016,219.896,1481.07
35,0,-257.957,223.363,1535.86,-295.028,225.587,1535.17,-256.97,219.871,1481.15
36,0,-257.903,223.301,1535.91,-294.977,225.545,1535.25,-256.911,219.788,1481.18
37,0,-257.843,223.228,1535.98,-294.947,225.504,1535.28,-256.895,219.77,1481.27
38,0,-257.827,223.156,1536.02,-294.977,225.466,1535.36,-256.87,219.688,1481.32
39,0,-257.785,223.092,1536.08,-294.926,225.378,1535.36,-256.841,219.645,1481.37
40,0,-257.764,223.053,1536.09,-294.866,225.299,1535.35,-256.816,219.618,1481.46
41,0,-257.729,223.072,1536.17,-294.884,225.305,1535.41,-256.771,219.591,1481.53
42,0,-257.679,223.092,1536.24,-294.835,225.308,1535.48,-256.687,219.591,1481.54
43,0,-257.629,223.083,1536.28,-294.811,225.393,1535.53,-256.662,219.668,1481.68
44,0,-257.425,223.274,1536.41,-294.69,225.459,1535.6,-256.489,219.734,1481.76
45,0,-257.5,223.185,1536.41,-294.698,225.442,1535.63,-256.572,219.71,1481.78
46,0,-257.421,223.201,1536.47,-294.653,225.448,1535.69,-256.531,219.692,1481.83
47,0,-257.36,223.199,1536.52,-294.589,225.476,1535.74,-256.508,219.708,1481.9
48,0,-257.293,223.2,1536.6,-294.508,225.45,1535.81,-256.495,219.689,1481.92
49,0,-257.24,223.226,1536.65,-294.443,225.46,1535.88,-256.427,219.69,1481.99
50,0,-257.211,223.268,1536.72,-294.372,225.478,1535.95,-256.416,219.644,1482
51,0,-257.149,223.27,1536.78,-294.288,225.477,1536.06,-256.391,219.685,1482.08
52,0,-257.076,223.309,1536.87,-294.224,225.498,1536.12,-256.344,219.7,1482.12
53,0,-257.01,223.313,1536.92,-294.199,225.567,1536.23,-256.294,219.69,1482.13
54,0,-256.943,223.364,1536.97,-294.12,225.611,1536.33,-256.247,219.754,1482.18
55,0,-256.872,223.384,1537.03,-294.093,225.682,1536.38,-256.186,219.737,1482.22
56,0,-256.821,223.416,1537.07,-294.029,225.739,1536.55,-256.163,219.784,1482.3
57,0,-256.763,223.43,1537.11,-293.977,225.751,1536.61,-256.097,219.796,1482.34
58,0,-256.718,223.451,1537.14,-293.942,225.782,1536.64,-256.069,219.802,1482.39
59,0,-256.663,223.471,1537.17,-293.917,225.821,1536.71,-256.025,219.853,1482.43
60,0,-256.454,223.591,1537.25,-293.786,225.954,1536.81,-255.953,219.839,1482.47
61,0,-256.608,223.453,1537.21,-293.731,225.886,1536.79,-255.915,219.833,1482.51
62,0,-256.569,223.443,1537.23,-293.734,225.855,1536.77,-255.88,219.844,1482.48
63,0,-256.531,223.432,1537.21,-293.722,225.965,1536.83,-255.868,219.822,1482.51
64,0,-256.371,223.516,1537.25,-293.679,225.973,1536.82,-255.873,219.793,1482.49
65,0,-256.5,223.399,1537.18,-293.673,225.955,1536.81,-255.837,219.775,1482.47
66,0,-256.513,223.379,1537.18,-293.758,225.678,1536.65,-255.854,219.766,1482.47
67,0,-256.486,223.311,1537.15,-293.758,225.602,1536.63,-255.868,219.739,1482.44
68,0,-256.522,223.279,1537.14,-293.762,225.548,1536.58,-255.87,219.674,1482.4
69,0,-256.526,223.197,1537.12,-293.799,225.571,1536.6,-255.89,219.614,1482.37
70,0,-256.518,223.142,1537.1,-293.78,225.426,1536.51,-255.896,219.566,1482.32
