Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-231.944,158.296,1541.95,-269.213,158.401,1541.44,-231.35,160.26,1487.29
2,0,-231.888,158.534,1541.99,-269.149,158.738,1541.49,-231.34,160.429,1487.3
3,0,-231.829,158.817,1542.06,-269.093,159.044,1541.52,-231.334,160.629,1487.29
4,0,-231.783,159.06,1542.15,-269.054,159.37,1541.59,-231.311,160.845,1487.31
5,0,-231.711,159.219,1542.08,-269.023,159.689,1541.65,-231.272,161.054,1487.35
6,0,-231.729,159.633,1542.28,-269.015,159.937,1541.67,-231.236,161.229,1487.38
7,0,-231.74,159.806,1542.29,-269.005,160.059,1541.66,-231.206,161.504,1487.42
8,0,-231.77,160.031,1542.27,-269.045,160.211,1541.66,-231.203,161.763,1487.45
9,0,-231.808,160.218,1542.24,-269.016,160.356,1541.61,-231.164,162.061,1487.47
10,0,-231.768,160.437,1542.19,-269.047,160.601,1541.62,-231.124,162.357,1487.45
11,0,-231.756,160.694,1542.19,-268.995,160.865,1541.61,-231.058,162.66,1487.46
12,0,-231.714,160.95,1542.17,-268.946,161.209,1541.63,-231.155,162.806,1487.4
13,0,-231.714,161.227,1542.24,-268.925,161.501,1541.65,-231.051,163.126,1487.51
14,0,-231.689,161.533,1542.32,-268.953,161.78,1541.65,-231.041,163.375,1487.54
15,0,-231.66,161.87,1542.42,-268.962,162.045,1541.67,-231.057,163.643,1487.59
16,0,-231.671,162.131,1542.44,-268.994,162.313,1541.72,-231.053,163.919,1487.65
17,0,-231.671,162.461,1542.55,-268.948,162.679,1541.87,-231.018,164.188,1487.71
18,0,-231.689,162.81,1542.66,-268.955,162.979,1541.98,-231.014,164.443,1487.78
19,0,-231.646,163.025,1542.71,-268.879,163.214,1542.07,-230.863,164.73,1487.82
20,0,-231.614,163.274,1542.8,-268.895,163.513,1542.16,-230.789,165.052,1487.95
21,0,-231.576,163.449,1542.81,-268.822,163.795,1542.26,-230.898,165.253,1488.02
22,0,-231.388,163.693,1542.84,-268.645,164.073,1542.28,-230.81,165.44,1488.11
23,0,-231.424,163.948,1542.96,-268.687,164.267,1542.39,-230.74,165.684,1488.24
24,0,-231.431,164.23,1543.1,-268.643,164.512,1542.51,-230.676,165.878,1488.35
25,0,-231.349,164.404,1543.16,-268.588,164.692,1542.63,-230.652,166.05,1488.47
26,0,-231.272,164.597,1543.26,-268.524,164.878,1542.73,-230.617,166.209,1488.57
27,0,-231.191,164.801,1543.39,-268.447,165.031,1542.87,-230.54,166.39,1488.73
28,0,-231.056,165.151,1543.65,-268.411,165.202,1542.98,-230.48,166.611,1488.88
29,0,-230.993,165.319,1543.74,-268.272,165.454,1543.16,-230.355,166.789,1489.05
30,0,-230.89,165.502,1543.92,-268.192,165.557,1543.28,-230.289,167.043,1489.27
31,0,-230.825,165.639,1544.04,-268.082,165.734,1543.43,-230.211,167.273,1489.41
32,0,-230.798,165.673,1544.1,-267.977,165.894,1543.59,-230.172,167.434,1489.54
33,0,-230.74,165.765,1544.2,-267.889,166.01,1543.73,-230.104,167.505,1489.62
34,0,-230.665,165.866,1544.35,-267.793,166.236,1543.94,-230.054,167.602,1489.71
35,0,-230.539,166.052,1544.57,-267.68,166.473,1544.14,-230.005,167.75,1489.78
36,0,-230.375,166.235,1544.77,-267.62,166.613,1544.31,-229.949,167.959,1489.94
37,0,-230.367,166.506,1545.06,-267.559,166.741,1544.39,-229.872,168.171,1490.06
38,0,-230.298,166.612,1545.11,-267.542,166.841,1544.51,-229.784,168.384,1490.2
39,0,-230.253,166.794,1545.25,-267.493,166.977,1544.69,-229.597,168.648,1490.36
40,0,-230.163,166.987,1545.33,-267.434,167.158,1544.82,-229.709,168.851,1490.47
41,0,-230.124,167.144,1545.36,-267.233,167.336,1544.9,-229.655,169.067,1490.59
42,0,-229.976,167.38,1545.42,-267.274,167.511,1545.01,-229.62,169.323,1490.72
43,0,-229.966,167.668,1545.51,-267.231,167.746,1545.08,-229.552,169.544,1490.83
44,0,-229.949,167.898,1545.58,-267.162,167.966,1545.16,-229.545,169.709,1490.9
45,0,-229.92,168.056,1545.64,-267.152,168.173,1545.21,-229.492,169.844,1490.99
46,0,-229.858,168.139,1545.6,-267.088,168.298,1545.24,-229.436,170.034,1491.09
47,0,-229.841,168.319,1545.7,-267.049,168.454,1545.3,-229.397,170.133,1491.12
48,0,-229.788,168.382,1545.7,-266.965,168.526,1545.23,-229.349,170.206,1491.15
49,0,-229.764,168.474,1545.67,-266.927,168.797,1545.34,-229.301,170.3,1491.13
50,0,-229.689,168.519,1545.55,-266.91,168.961,1545.35,-229.259,170.409,1491.04
51,0,-229.686,168.622,1545.54,-266.884,169.092,1545.32,-229.202,170.556,1491
52,0,-229.607,168.78,1545.54,-266.868,169.227,1545.32,-229.193,170.811,1490.97
53,0,-229.585,168.939,1545.55,-266.86,169.319,1545.33,-229.171,171.043,1490.96
54,0,-229.607,169.231,1545.68,-266.879,169.499,1545.35,-229.14,171.31,1490.97
55,0,-229.59,169.439,1545.7,-266.88,169.644,1545.32,-229.187,171.565,1490.94
56,0,-229.57,169.726,1545.69,-266.902,169.846,1545.28,-229.152,171.805,1490.92
57,0,-229.581,169.977,1545.7,-266.871,170.055,1545.25,-229.155,171.967,1490.84
58,0,-229.617,170.183,1545.65,-266.834,170.295,1545.18,-229.132,172.096,1490.79
59,0,-229.62,170.417,1545.62,-266.832,170.529,1545.12,-229.123,172.198,1490.74
60,0,-229.576,170.599,1545.59,-266.822,170.712,1545.07,-229.07,172.344,1490.69
61,0,-229.576,170.737,1545.54,-266.818,170.964,1545.03,-229.108,172.607,1490.62
62,0,-229.574,170.872,1545.47,-266.821,171.14,1545.02,-229.081,172.797,1490.59
63,0,-229.59,171.038,1545.4,-266.83,171.306,1544.97,-229.075,173.061,1490.56
64,0,-229.581,171.257,1545.29,-266.84,171.537,1544.96,-229.073,173.34,1490.5
65,0,-229.572,171.51,1545.23,-266.83,171.741,1544.86,-229.055,173.685,1490.45
66,0,-229.582,171.766,1545.14,-266.723,172.015,1544.7,-229.068,174.032,1490.41
67,0,-229.597,172.03,1545.1,-266.764,172.329,1544.59,-229.055,174.187,1490.37
68,0,-229.635,172.3,1544.99,-266.783,172.508,1544.49,-229.084,174.441,1490.34
69,0,-229.542,172.559,1544.9,-266.814,172.74,1544.41,-229.122,174.594,1490.28
70,0,-229.594,172.725,1544.82,-266.843,172.894,1544.37,-229.154,174.813,1490.23
71,0,-229.635,172.908,1544.74,-266.868,173.099,1544.34,-229.206,174.985,1490.14
72,0,-229.582,173.154,1544.64,-266.89,173.339,1544.27,-229.173,175.226,1490.07
73,0,-229.598,173.388,1544.59,-266.892,173.612,1544.23,-229.154,175.565,1489.97
74,0,-229.581,173.609,1544.52,-266.89,173.98,1544.15,-229.136,175.862,1489.91
75,0,-229.621,173.906,1544.54,-266.894,174.314,1544.1,-229.094,176.237,1489.92
76,0,-229.582,174.175,1544.48,-266.903,174.56,1544.04,-229.069,176.518,1489.87
77,0,-229.638,174.502,1544.45,-266.846,174.8,1544.01,-229.038,176.777,1489.82
78,0,-229.679,174.799,1544.36,-266.844,175.041,1543.93,-229.054,177.019,1489.75
79,0,-229.705,175.082,1544.28,-266.827,175.318,1543.89,-229.152,177.242,1489.6
80,0,-229.69,175.327,1544.2,-266.85,175.557,1543.8,-229.19,177.515,1489.5
81,0,-229.638,175.422,1544.07,-266.885,175.832,1543.71,-229.179,177.76,1489.41
82,0,-229.634,175.586,1544.01,-266.904,176.087,1543.67,-229.168,178.018,1489.35
83,0,-229.668,175.93,1544.1,-266.936,176.367,1543.67,-229.134,178.241,1489.32
84,0,-229.642,176.166,1544.1,-266.959,176.652,1543.65,-229.12,178.436,1489.25
85,0,-229.664,176.469,1544.06,-266.922,176.875,1543.61,-229.083,178.666,1489.22
86,0,-229.687,176.798,1544.04,-266.903,177.12,1543.57,-229.072,178.838,1489.22
87,0,-229.72,177.044,1544,-266.891,177.298,1543.52,-229.038,179.042,1489.17
88,0,-229.779,177.232,1543.94,-266.901,177.435,1543.43,-229.041,179.302,1489.13
89,0,-229.799,177.413,1543.92,-266.954,177.665,1543.4,-229.08,179.587,1489.13
90,0,-229.748,177.577,1543.89,-266.959,177.862,1543.4,-229.061,179.889,1489.12
91,0,-229.722,177.767,1543.87,-267.006,178.111,1543.41,-229.054,180.137,1489.12
92,0,-229.695,177.982,1543.87,-267.001,178.376,1543.37,-229.02,180.413,1489.13
93,0,-229.67,178.296,1543.88,-266.985,178.663,1543.37,-228.991,180.642,1489.17
94,0,-229.623,178.569,1543.89,-266.911,178.924,1543.31,-228.959,180.896,1489.18
95,0,-229.645,178.891,1543.89,-266.898,179.198,1543.27,-228.917,181.12,1489.24
96,0,-229.634,179.189,1543.87,-266.797,179.502,1543.31,-228.947,181.308,1489.21
97,0,-229.623,179.462,1543.87,-266.785,179.706,1543.32,-228.914,181.52,1489.2
98,0,-229.654,179.654,1543.84,-266.802,179.888,1543.33,-228.887,181.759,1489.18
99,0,-229.555,179.77,1543.74,-266.767,180.114,1543.33,-228.955,182.165,1489.19
100,0,-229.539,180.022,1543.83,-266.704,180.307,1543.29,-228.847,182.45,1489.21
101,0,-229.431,180.176,1543.75,-266.7,180.533,1543.27,-228.889,182.683,1489.22
102,0,-229.369,180.397,1543.78,-266.636,180.752,1543.3,-228.827,182.922,1489.26
103,0,-229.291,180.803,1543.92,-266.567,181.015,1543.31,-228.717,183.055,1489.25
104,0,-229.195,181.07,1543.94,-266.511,181.288,1543.35,-228.651,183.294,1489.3
105,0,-229.153,181.286,1543.92,-266.462,181.549,1543.38,-228.594,183.457,1489.31
106,0,-229.106,181.476,1543.89,-266.408,181.87,1543.51,-228.582,183.571,1489.28
107,0,-229.06,181.648,1543.9,-266.351,181.987,1543.46,-228.517,183.743,1489.25
108,0,-229.065,181.851,1543.93,-266.291,182.186,1543.51,-228.466,183.893,1489.22
109,0,-229.043,181.994,1543.91,-266.243,182.338,1543.52,-228.362,184.062,1489.2
110,0,-228.97,182.212,1543.93,-266.154,182.497,1543.52,-228.277,184.297,1489.24
111,0,-228.887,182.477,1543.97,-266.027,182.647,1543.5,-228.167,184.553,1489.3
112,0,-228.804,182.663,1543.99,-265.948,182.865,1543.55,-228.032,184.874,1489.4
113,0,-228.743,182.848,1543.99,-265.846,183.165,1543.63,-227.957,185.115,1489.42
114,0,-228.641,183.063,1544.02,-265.766,183.45,1543.71,-227.889,185.382,1489.45
115,0,-228.498,183.191,1543.97,-265.687,183.698,1543.78,-227.794,185.515,1489.42
116,0,-228.443,183.489,1544.16,-265.592,183.905,1543.79,-227.722,185.682,1489.42
117,0,-228.413,183.722,1544.29,-265.535,184.154,1543.86,-227.682,185.906,1489.48
118,0,-228.357,183.909,1544.35,-265.48,184.293,1543.87,-227.758,185.986,1489.44
119,0,-228.114,184.16,1544.43,-265.453,184.448,1543.86,-227.693,186.26,1489.53
120,0,-228.144,184.338,1544.45,-265.388,184.662,1543.91,-227.637,186.547,1489.61
121,0,-228.012,184.605,1544.51,-265.308,184.881,1543.93,-227.567,186.847,1489.71
